geoid;gini
36061012000;0,5389
36061012100;0,4705
36061012200;0,6123
36061012400;0,5393
36061012500;0,4996
36061012600;0,4862
36061012700;0,5274
36061012800;0,5865
36061012900;0,5003
36061013000;0,5919
36061013100;0,4842
36061013200;0,4721
36061013300;0,4972
36061013400;0,573
36061013500;0,5468
36061013600;0,5579
36061013700;0,5377
36061013800;0,432
36061013900;0,5313
36061014000;0,5768
36061014200;0,6038
36061014401;0,5777
36061014402;0,5532
36061014500;0,5924
36061014601;0,5025
36061014602;0,4755
36061014700;0,4716
36061014801;0,5503
36061014802;0,5876
36061014900;0,574
36061015001;0,5539
36061015002;0,5454
36061015100;0,6354
36061015200;0,5692
36061015300;0,5177
36061015400;0,4472
36061015500;0,5485
36061015601;0,4985
36061015602;0,6228
36061015700;0,4996
36061015801;0,4937
36061015802;0,5121
36061015900;0,5117
36061016001;0,5137
36061016002;0,6089
36061016100;0,5994
36061016200;0,4619
36061016300;0,5799
36061016400;0,6131
36061016500;0,5673
36061016600;0,5365
36061016700;0,5515
36061016800;0,7412
36061016900;0,5707
36061017000;0,4848
36061017100;0,6084
36061017200;0,4638
36061017300;0,5155
36061017401;0,6715
36061017402;0,5091
36061017500;0,495
36061017700;0,6409
36061017800;0,4839
36061017900;0,6024
36061018000;0,6115
36061018100;0,6293
36061018200;0,5481
36061018300;0,5437
36061018400;0,5266
36061018500;0,4873
36061018600;0,5676
36061018700;0,5273
36061018800;0,5301
36061018900;0,6579
36061019000;0,5933
36061019100;0,5113
36061019200;0,5651
36061019300;0,6195
36061019400;0,5088
36061019500;0,554
36061019600;0,625
36061019701;0,6071
36061019702;0,5314
36061019800;0,4877
36061019900;0,5861
36061020000;0,5292
36061020101;0,6072
36061020102;0,5801
36061020300;0,6432
36061020500;0,5324
36061020600;0,4834
36061020701;0,4921
36061020800;0,5124
36061020901;0,4932
36061021000;0,528
36061021100;0,5849
36061021200;0,4947
36061021303;0,4603
36061021400;0,4075
36061021500;0,4827
36061021600;0,6015
36061021800;0,5811
36061021900;0,5411
36061022000;0,5206
36061022102;0,5714
36061022200;0,5419
36061022301;0,4985
36061022302;0,5134
36061022400;0,5626
36061022500;0,484
36061022600;0,6321
36061022700;0,464
36061022800;0,6188
36061022900;0,4946
36061023000;0,545
36061023100;0,5101
36061023200;0,4652
36061023300;0,5267
36061023400;0,458
36061023501;0,4564
36061023502;0,4575
36061023600;0,5886
36061023700;0,4746
36061023801;0,4967
36061023802;0,3897
36061023900;0,5189
36061024100;0,4904
36061024200;0,5458
36061024301;0,4454
36061024302;0,4684
36061024500;0,4522
36061024700;0,562
36061024900;0,4665
36061025100;0,5419
36061025300;0,439
36061025500;0,511
36061025700;0,4732
36061025900;0,5026
36061026100;0,4953
36061026300;0,4808
36061026500;0,4356
36061026700;0,4516
36061026900;0,4559
36061027100;0,4498
36061027300;0,4148
36061027500;0,4762
36061027700;0,4571
36061027900;0,4045
36061028100;0,4025
36061028300;0,4069
36061028500;0,4328
36061028700;0,4726
36061029100;0,4628
36061029300;0,4306
36061029500;0,3815
36061029900;0,5036
36061030300;0,4321
36061030700;0,4363
36061030900;0,496
36061031703;0,4404
36061031704;0,4743
36081000100;0,387
36081000200;0,4182
36081000400;0,3931
36081000600;0,3504
36081000700;0,4513
36081000800;0,4259
36081001000;0,3887
36081001200;0,3967
36081001400;0,3617
36081001600;0,3888
36081001800;0,4911
36081001900;0,4353
36081002000;0,4664
36081002200;0,4073
36081002400;0,3982
36081002500;0,5237
36081002600;0,4042
36081002800;0,4057
36081003000;0,5178
36081003100;0,397
36081003200;0,387
36081003300;0,4684
36081003400;0,4456
36081003600;0,3612
36081003800;0,4245
36081003900;0,4929
36081004001;0,3775
36081004002;0,3807
36081004200;0,4122
36081004300;0,4653
36081004401;0,4666
36081004500;0,4288
36081004700;0,498
36081005000;0,2788
36081005100;0,4261
36081005200;0,4049
36081005300;0,3578
36081005400;0,4174
36081005500;0,4033
36081005700;0,4352
36081005800;0,4389
36081005900;0,414
36081006100;0,4626
36081006201;0,4359
36081006202;0,5106
36081006300;0,4199
36081006501;0,4643
36081006502;0,431
36081006900;0,429
