OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,COORD_X,COORD_Y
216,      0.11679755468,      0.00081607665,South Ozone Park,216,Queens, 1034328.300064845700000,  185669.032250790250000
217,      0.05539052513,      0.00011473327,South Williamsburg,217,Brooklyn,  995729.630293792110000,  195734.938140317100000
218,      0.08370082810,      0.00028129374,Springfield Gardens North,218,Queens, 1047209.161098731700000,  184218.431191892300000
219,      0.15512666968,      0.00042817634,Springfield Gardens South,219,Queens, 1049585.194577724900000,  180616.254137032900000
220,      0.10601594327,      0.00031303574,Spuyten Duyvil/Kingsbridge,220,Bronx, 1008953.129124945700000,  260773.715089107810000
221,      0.16621822085,      0.00089011157,Stapleton,221,Staten Island,  963788.572874078410000,  164718.910374241100000
222,      0.04838935280,      0.00013026834,Starrett City,222,Brooklyn, 1016880.344556985800000,  175209.803277767150000
223,      0.16602192528,      0.00076436070,Steinway,223,Queens, 1010448.249339386800000,  222528.476020077070000
224,      0.04402044628,      0.00009847870,Stuy Town/Peter Cooper Village,224,Manhattan,  990735.940308916850000,  205899.417532916150000
225,      0.08879920733,      0.00031083540,Stuyvesant Heights,225,Brooklyn, 1003139.565788068000000,  190001.966683531910000
226,      0.16895776204,      0.00076194415,Sunnyside,226,Queens, 1005124.982198383100000,  208048.827128515720000
227,      0.08283015708,      0.00026831653,Sunset Park East,227,Brooklyn,  982958.798494085550000,  173132.833961296130000
228,      0.17768517771,      0.00099341478,Sunset Park West,228,Brooklyn,  981122.004587876730000,  176946.791445503330000
229,      0.04252529001,      0.00009470582,Sutton Place/Turtle Bay North,229,Manhattan,  993906.172307160920000,  214975.366877185820000
230,      0.03102830968,      0.00005609145,Times Sq/Theatre District,230,Manhattan,  988628.060046702270000,  216099.139768386810000
231,      0.06342011656,      0.00016692975,TriBeCa/Civic Center,231,Manhattan,  982065.701385468590000,  200780.540427251340000
232,      0.06147090853,      0.00021604997,Two Bridges/Seward Park,232,Manhattan,  988955.887520141430000,  199673.277024996440000
233,      0.04803591829,      0.00011618809,UN/Turtle Bay South,233,Manhattan,  992439.560877738170000,  212491.935842248090000
234,      0.03607219950,      0.00007310544,Union Sq,234,Manhattan,  986894.236796348120000,  209001.626630463080000
235,      0.07616684265,      0.00021284455,University Heights/Morris Heights,235,Bronx, 1007494.992008521700000,  249885.021589915440000
236,      0.04425192231,      0.00010286435,Upper East Side North,236,Manhattan,  996155.386765684700000,  223613.753576024410000
237,      0.04221260034,      0.00009598732,Upper East Side South,237,Manhattan,  993769.023713781500000,  219305.827825552170000
238,      0.06010931140,      0.00018476369,Upper West Side North,238,Manhattan,  991712.764441321600000,  227717.518058987650000
239,      0.06362611530,      0.00020471544,Upper West Side South,239,Manhattan,  990167.498291722150000,  224895.872164794880000
240,      0.14606976438,      0.00072213092,Van Cortlandt Park,240,Bronx, 1016879.869198504000000,  265226.438636786360000
241,      0.06876457776,      0.00025467698,Van Cortlandt Village,241,Bronx, 1013115.881752049700000,  258631.992199901080000
242,      0.13813644643,      0.00036007245,Van Nest/Morris Park,242,Bronx, 1025564.827847667300000,  247818.588169326160000
243,      0.09433149994,      0.00043837734,Washington Heights North,243,Manhattan, 1002830.587983179400000,  251552.228688530940000
244,      0.08056860446,      0.00035970275,Washington Heights South,244,Manhattan, 1000464.311047653300000,  245939.880658754350000
245,      0.09598305966,      0.00046617541,West Brighton,245,Staten Island,  955698.915831039430000,  168837.058601386200000
246,      0.06946719374,      0.00028129833,West Chelsea/Hudson Yards,246,Manhattan,  983137.466109154050000,  213727.400081729810000
